TwitterHandle,Hashtags,CommentsNumber,RetweetsNumber,LikesNumber
MM,@Inspiroc,[],175,225,20 k
FIFA World Cup 2022 Final Talks,@plstreaminglive,[],59,2 528,7 925
domatapeko,@DomataPeko,"['#Messiğ“ƒµ', '#WorldCup2022', '#Messi']",126,715,"16,7 k"
FIFA World Cup 2022 Final Talks,@plstreaminglive,[],64,2 105,5 892
Troll Football,@UKTrollFootball,[],2,24,110
Usain St. Leo Bolt,@usainbolt,"['#ArgentinaVsFrance', '#WorldCup2022']",26,270,2 044
FIFA World Cup,@FIFAWorldCup,['#FIFAWorldCup'],1 645,"26,4 k",265 k
BMS | Safou,@ImpulSionNeo,"['#FIFAWorldCupQatar2022', '#WorldCup2022', '#FRAARG', '#FRA']",2,6,27
FIFA World Cup 2022 Final Talks,@plstreaminglive,[],1,14,61
Twins Fifa,@TwinsFifaHD,"['#FRAARG', '#WorldCup2022']",9,19,252
FIFA World Cup 2022 Final Talks,@plstreaminglive,[],,9,42
Troll Football,@UKTrollFootball,[],2,57,170
ğ‘†ğ‘šğ‘œğ‘™ ğ‘†â„ğ‘ğ‘Ÿğ‘˜ğ‘ ,@SmolSharkAvax,"['#avax', '#AVAX', '#AvaxNftRush', '#AVAXNFT', '#NFTs', '#WorldCup2022', '#WorldCup', '#FrancevsArgentina']",11,9,25
Jake,@bluebirds999,"['#BBCWorldCup', '#FifaWorldCup', '#ArgentinaVsFrance', '#Argentina', '#Messiğ“ƒµ', '#Mbappe', '#WorldCup', '#WorldCupFinal', '#WorldCup2022', '#FIFAWorldCup2022']",2,45,64
Clementxw,@clementwxee,['#WorldCup2022'],,1,4
PrettyLittleThing,@OfficialPLT,['#WorldCup2022'],2,43,245
Faruk KoÃ§,@FarukKocTR,['#worldcup2022'],1,110,376
GUYOT Vincent,@GuyotVincent02,"['#AllezLesBleus', '#WorldCupFinal', '#WorldCup2022']",1,,17
compiler,@omarelshiekhh,"['#ArgentinaVsFrance', '#AllezLesBleus', '#WorldCup2022', '#WorldCupFinal']",10,17,79
Bayu Arisandy,@bayuarisandee,['#FIFAWorldCup'],,7,16
M.Dentz,@marijkedentz,"['#WorldCup2022', '#ARGFRA']",1,3,6
â™› Éª á´€ á´ á´Š á´€ á´ â™›,@JAM2DBEAT,['#WorldCup2022'],,,5
Forward Latino,@ForwardLatino,"['#Argentina', '#WorldCup2022']",,1,1
JeanPaulepanda,@JeanPaulepanda,"['#Bleus', '#FRAARG', '#WorldCup', '#WorldCup2022', '#finale']",5,8,61
France Diplomatie,@francediplo,"['#WorldCup2022', '#FiersdetreBleus', '#Qatar2022']",5,24,83
DIOS,@GodColombiano,"['#WorldCup2022', '#ArgentinaVsFrance']",11,2,117
Vamoya,@_CoachM3_,"['#Qatar2022', '#WorldCup2022']",,,
Tokyo,@maltichki,"['#MbappÃ©', '#FRAARG', '#WorldCup2022', '#CoupeDuMondeFIFA']",,,1
nhung jr,@nhungjr,"['#WorldCup2022', '#Argentina', '#Messiğ“ƒµ']",,1,1
Infoot,@_Infoot_,['#WorldCup2022'],,,
Chris FCB,@Chriseden_FCB,"['#ARGFRA', '#ArgentinaVsFrance', '#Argentina', '#ArgentinaFrancia', '#FIFAWorldCup', '#FIFAInTheHouse', '#WorldCupFinal', '#WorldCup2022', '#WorldCup', '#FIFAWorldCupQatar2022', '#FIFAWorldCup2022', '#Mbappeğ“ƒµ', '#Messiğ“ƒµ', '#Messiğ“ƒµday']",,,
Lá´€ÊŸÊ,@raffffa1986,"['#CoupeDuMonde2022', '#WorldCup2022']",,,1
"NOGUCHI, Soichi é‡å£ã€€è¡ä¸€ï¼ˆã®ãã¡ã€€ãã†ã„ã¡ï¼‰",@Astro_Soichi,['#WorldCup2022'],4,51,826
BashCFC,@kakury86,"['#ArgentinaVsFrance', '#WorldCup2022']",2,,11
Jungkook SNS,@Jungkook_SNS,['#FIFAWorldCup'],10,305,803
World Cup 2022,@WorldCupEN,[],2,4,27
FutsHaber,@FutsHaberr,['#WorldCup2022'],171,131,112
P.L.V.O.T. Streaming,@plvots,[],5,242,212
Jack Barrett,@jackbarrettmufc,['#WorldCup2022'],2,3,35
Sylvain RANCIEN,@srancien,"['#WorldCup2022', '#ScienceAdvances']",,2,2
Rawawisa,@rawawisa,"['#WorldCupFinal', '#WorldCup2022', '#à¸Ÿà¸¸à¸•à¸šà¸­à¸¥à¹‚à¸¥à¸2022', '#trueid']",,7,16
azizah alharbi,@mangoo34890,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",47,49,52
Aboubacry sow l'officiel,@PrincePoulho,"['#ArgentinaVsFrance', '#FIFAWorldCup', '#FIFAWorldCupQatar2022', '#WorldCup2022', '#Senegal', '#kebetu', '#dakar']",,1,5
sory,@roroq140686,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",28,113,132
bookmaker.XYZ,@bookmakerxyz,"['#WorldCup2022', '#gamblingtwitter']",113,332,349
Auto-moto SportNet,@romefabrice62,"['#WorldCup2022', '#QatarWorldCup2022', '#coupedumonde2022', '#Qatar2022', '#FIFAWorldCup']",,1,4
P.L.V.O.T. Streaming,@plvots,[],3,112,199
My name is R.....A,@saymon_back,"['#LeoMessi', '#WorldCup2022']",,1,22
CHLS,@cehlos,['#WorldCup2022'],25,4,31
Khairul Hafidz,@khairul_hafidz,['#WorldCup2022'],44,137,234
ã“ã™ã¢ ï¾â™¡*ï¾Ÿ,@shineelove9210,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",30,49,54
Guardian sport,@guardian_sport,['#FIFAWorldCup'],1,5,27
Sumit Mehrotra,@SumitResearch,"['#Goldengoal', '#WorldCup', '#WorldCupFinal', '#WorldCup2022', '#WorldcupQatar2022', '#Messiğ“ƒµ']",6,15,87
Nikki,@NixJPayne,['#WorldCup2022'],1,,9
DoxandÃ«m,@LeModerateur_sn,"['#WorldCup2022', '#MbappÃ©']",,,
Halimah Karimah Cham,@alkhnfreh21,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA', '#ÙƒØ£Ø³_Ø§Ù„Ø¹Ø§Ù„Ù…_2022']",47,111,114
Anatolii Petrenko,@AmbUkraineKSA,"['#WorldCup2022', '#WorldCupFinal', '#FrancevsArgentina']",,,4
St Mirren FC,@saintmirrenfc,['#WorldCup2022'],3,19,232
Sourav 007007,@007007Sourav,"['#FIFAWorldCup2022Final', '#WorldCup', '#WorldCupFinal', '#FIFAWorldCup2022', '#Qatar2022', '#QatarWorldCup', '#WorldCup2022']",,6,64
ayman najaar,@aemoone111,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",50,112,122
Kappa,@JesuisKappa,['#WorldCup2022'],,1,4
Best Free Sports Streaming Sites,@SylasSettle,[],,8,15
æµçŸ³æ·³å¹³,@ricecurry75,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",30,48,50
ã—ã‚‡ãƒ¼ã‚„ããƒ¼,@pankd7537,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",28,48,49
L'Homme RÃ©voltÃ© Ph.D.,@UnSisyphe,"['#ARGFRA', '#WorldCup2022']",,3,3
Best Free Sports Streaming Sites,@SylasSettle,[],,4,8
T.H.E.O á´®áµ€,@TheoSifuba,"['#Messi', '#Argentina', '#WorldCup2022']",2,15,43
Real Madrid CF FR,@RealMadridCFFR1,"['#ARGFRA', '#FRA', '#France', '#WorldCup2022', '#QatarWorldCup2022', '#Benzema', '#FIFAWorldCup']",2,4,24
Ù…Ø´Ø§Ø±ÙŠ Ø±Ø§Ø´Ø¯ Ø§Ù„Ø¹ÙØ§Ø³ÙŠ,@Alafasy,"['#Ù…ÙŠØ³ÙŠ', '#Ù‚Ø·Ø±', '#Ø§Ù„ÙŠÙˆÙ…_Ø§Ù„ÙˆØ·Ù†ÙŠ_Ø§Ù„Ù‚Ø·Ø±ÙŠ', '#ÙŠØ³ØªØ§Ù‡Ù„', '#Messiğ“ƒµ', '#Ø§Ù„Ø§Ø±Ø¬Ù†ØªÙŠÙ†_ÙØ±Ù†Ø³Ø§', '#Ù†Ù‡Ø§Ø¦ÙŠ_ÙƒØ£Ø³_Ø§Ù„Ø¹Ø§Ù„Ù…', '#ÙØ±Ù†Ø³Ø§_Ø§Ù„Ø§Ø±Ø¬Ù†ØªÙŠÙ†', '#WorldCup2022']",136,386,1 586
à¸¡à¸­à¸¡à¸­à¸ˆà¸­à¸™à¸­,@pqbyunbaek,"['#à¸Ÿà¸¸à¸•à¸šà¸­à¸¥à¹‚à¸¥à¸2022', '#à¸ªà¸§à¸±à¸ªà¸”à¸µà¸šà¸­à¸¥à¹‚à¸¥à¸']",,38,13
World Cup 2022,@gilbeima,[],,,2
bjjbsw,@LoOomy660,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",34,105,116
Nate for the Xmas World cup 2022,@nathanielcorm,[],,,2
Burak Ates |,@mrflyfiree,[],,,2
96zjky,@naifahmed1993,"['#FIFAWorldCup', '#Qatar2022', '#ARGFRA']",45,109,140
